history_block_num,rentrex,loan_num,total_lendable,total_lent,total_rent,total_rex,total_unlent
111974400,4262,277654,81177520.9708,42218626.1179,9140.6833,807247977578.1385,38958894.8529
111801600,4299,277417,81236128.2966,42079829.8642,9108.2036,807836882740.3931,39156298.4324
111628800,4366,277226,81171004.881,41742673.6115,9030.2739,807195347562.9254,39428331.2695
111456000,4427,277101,81044842.6951,41402101.9497,8952.822,805946877457.7178,39642740.7454
111283200,4540,276949,81001364.4818,40880409.9091,8836.4555,805520664868.6309,40120954.5727
111110400,2903,276797,66052225.0179,40600815.6634,8765.1739,656863942366.5743,25451409.3545
110937600,2846,276622,65800337.2397,40728749.9322,8808.861,654365180638.0509,25071587.3075
110764800,2895,276367,65914650.3436,40572155.8406,8754.3586,655508238522.5247,25342494.503
110592000,2948,275875,65957245.4412,40361130.4409,8682.0298,655938232602.1694,25596115.0003
110419200,3016,275724,65915207.8934,40047960.833,8577.0321,655526501018.8547,25867247.0604
110246400,3115,275542,65936901.9563,39635417.7648,8442.7358,655748538065.3394,26301484.1915
110073600,3077,275243,65918229.3631,39787191.4811,8491.538,655569255159.0688,26131037.882
109900800,2972,275105,64728680.8257,39636159.867,8442.3639,643745489035.5453,25092520.9587
109728000,3413,274811,67683745.5481,39265145.1209,8325.2872,673141186849.9698,28418600.4272
109555200,3412,274606,67765554.2185,39311743.1161,8338.9364,673961220959.4158,28453811.1024
109382400,3488,274330,67704485.6613,38965749.0805,8238.3876,673360195175.8154,28738736.5808
109209600,3811,273698,68890503.191,38239291.5652,8042.6047,685162245994.9785,30651211.6258
109036800,3920,273506,69207681.3198,37958610.0008,7970.45,688323236076.3936,31249071.319
108864000,3817,273212,69014365.965,38276023.9905,8052.6359,686407113210.1328,30738341.9745
108691200,3770,273034,68973014.8687,38443817.2244,8096.7631,686002520644.1493,30529197.6443
108518400,3394,272715,68482834.4177,39755051.5668,8462.3795,681133991432.0294,28727782.8509
108345600,4442,272468,68386149.7113,35579309.1483,7385.3087,680179573567.3647,32806840.563
108172800,3638,272220,67469544.2436,38190927.4795,8046.84,671070189186.0518,29278616.7641
108000000,3417,271777,67011142.9971,38862094.5264,8238.0606,666518214579.9095,28149048.4707
107827200,2870,270864,66623641.3199,40997425.9134,8926.4632,662671460568.2758,25626215.4065
107654400,1165,270431,66360862.0686,50140946.1825,13925.5937,660066366679.414,16219915.8861
107481600,1210,269000,66200690.0918,49748886.8086,13594.615,658482118247.3645,16451803.2832
107308800,1249,266454,66458614.4028,49616342.2616,13486.5757,661056273907.9893,16842272.1412
107136000,1272,265482,66561545.8973,49513736.7732,13405.1058,662088742444.2932,17047809.1241
106963200,1299,265136,66935388.8549,49514352.7389,13405.4485,665816081689.965,17421036.116
106790400,1313,264885,66947430.7707,49428557.4426,13339.6252,665944433307.0095,17518873.3281
106617600,1418,264732,66859423.5738,48700399.3673,12804.9043,665077482427.0717,18159024.2065
106444800,1414,263971,66730828.6417,48659150.7895,12775.7379,663806788134.0594,18071677.8522
106272000,1398,263806,66512560.1277,48656684.6965,12773.9477,661643981832.6776,17855875.4312
106099200,1384,263588,66237445.9667,48603343.9522,12735.9149,658915809280.7781,17634102.0145
105926400,1384,262900,65965410.2636,48468193.8581,12637.6801,656218168995.3278,17497216.4055
105753600,1508,261770,66422084.5543,47927498.8605,12260.1237,660769711840.2076,18494585.6938
105580800,1582,261165,66594324.0995,47563914.2685,12025.0235,662491499890.985,19030409.831
105408000,1573,260921,66633871.3862,47641325.3914,12074.2599,662893320008.3618,18992545.9948
105235200,1643,260714,67069811.5813,47437353.5588,11948.775,667238671908.4615,19632458.0225
105062400,1699,260186,66936200.3476,47041071.3911,11710.7786,665918191091.2783,19895128.9565
104889600,1730,259488,67513353.7105,47146812.9934,11773.2155,671668827285.0092,20366540.7171
104716800,1822,258831,68386308.5981,47040326.1476,11713.6065,680362342668.9285,21345982.4505
104544000,1863,258547,68666848.6645,46939688.236,11659.0134,683162091689.2227,21727160.4285
